"コード","銘柄名","市場"
"6180","ＧＭＯメディア","東G"
"6181","タメニー","東G"
"6182","メタリアル","東G"
"6190","フェニックスバイオ","東G"
"6192","ハイアス・アンド・カンパニー","東G"
"6193","バーチャレクスＨＬＤＧ","東G"
"6195","ホープ","東G"
"6198","キャリア","東G"
"6232","ＡＣＳＬ","東G"
"6255","エヌ・ピー・シー","東G"
"6521","オキサイド","東G"
"6522","アスタリスク","東G"
"6537","ＷＡＳＨハウス","東G"
"6545","インターネットインフィニティー","東G"
"6548","旅工房","東G"
"6550","Ｕｎｉｐｏｓ","東G"
"6554","エスユーエス","東G"
"6557","ＡＩＡＩグループ","東G"
"6558","クックビズ","東G"
"6561","ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ","東G"
"6562","ジーニー","東G"
"6563","みらいワークス","東G"
"6567","ＳＥＲＩＯ　ＨＬＤＧ","東G"
"6568","神戸天然物化学","東G"
"6573","アジャイルメディア・ネットワー","東G"
"6574","コンヴァノ","東G"
"6577","ベストワンドットコム","東G"
"6579","ログリー","東G"
"6580","ライトアップ","東G"
"6597","ＨＰＣシステムズ","東G"
"6612","バルミューダ","東G"
"6613","ＱＤレーザ","東G"
"6618","大泉製作所","東G"
"6696","トラース・オン・プロダクト","東G"
"6697","テックポイント・インク","東G"
"7031","インバウンドテック","東G"
"7036","イーエムネットジャパン","東G"
"7039","ブリッジインターナショナル","東G"
"7041","ＣＲＧ　ＨＬＤＧ","東G"
"7043","アルー","東G"
"7046","ＴＤＳＥ","東G"
"7047","ポート","東G"
"7048","ベルトラ","東G"
"7049","識学","東G"
"7050","フロンティアインターナショナル","東G"
"7061","日本ホスピスＨＬＤＧ","東G"
"7062","フレアス","東G"
"7063","Ｂｉｒｄｍａｎ","東G"
"7064","ハウテレビジョン","東G"
"7066","ピアズ","東G"
"7067","ブランディングテクノロジー","東G"
"7068","フィードフォースグループ","東G"
"7069","サイバー・バズ","東G"
"7072","インティメート・マージャー","東G"
"7073","ジェイック","東G"
"7074","トゥエンティーフォーセブン","東G"
"7077","ＡＬｉＮＫインターネット","東G"
"7078","ＩＮＣＬＵＳＩＶＥ","東G"
"7079","ＷＤＢココ","東G"
"7080","スポーツフィールド","東G"
"7082","ジモティー","東G"
"7083","ＡＨＣグループ","東G"
"7084","Ｋｉｄｓ　Ｓｍｉｌｅ　ＨＬＤＧ","東G"
"7086","きずなＨＬＤＧ","東G"
"7089","フォースタートアップス","東G"
"7090","リグア","東G"
"7091","リビングプラットフォーム","東G"
"7093","アディッシュ","東G"
"7094","ＮｅｘＴｏｎｅ","東G"
"7095","Ｍａｃｂｅｅ　Ｐｌａｎｅｔ","東G"
"7096","ステムセル研究所","東G"
