"コード","銘柄名","市場"
"3328","ＢＥＥＮＯＳ","東P"
"3333","あさひ","東P"
"3341","日本調剤","東P"
"3349","コスモス薬品","東P"
"3360","シップヘルスケアＨＬＤＧ","東P"
"3371","ソフトクリエイトＨＬＤＧ","東P"
"3382","セブン＆アイＨＬＤＧ","東P"
"3387","クリエイト・レストランツＨＬＤ","東P"
"3388","明治電機工業","東P"
"3391","ツルハＨＬＤＧ","東P"
"3393","スターティアＨＬＤＧ","東P"
"3395","サンマルクＨＬＤＧ","東P"
"3397","トリドールＨＬＤＧ","東P"
"3401","帝人","東P"
"3402","東レ","東P"
"3405","クラレ","東P"
"3407","旭化成","東P"
"3415","ＴＯＫＹＯ　ＢＡＳＥ","東P"
"3431","宮地エンジニアリンググループ","東P"
"3433","トーカロ","東P"
"3436","ＳＵＭＣＯ","東P"
"3443","川田テクノロジーズ","東P"
"3445","ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ","東P"
"3446","ジェイテックコーポレーション","東P"
"3452","ビーロット","東P"
"3454","ファーストブラザーズ","東P"
"3457","Ａｎｄ　ＤｏＨＬＤＧ","東P"
"3458","シーアールイー","東P"
"3464","プロパティエージェント","東P"
"3465","ケイアイスター不動産","東P"
"3467","アグレ都市デザイン","東P"
"3475","グッドコムアセット","東P"
"3480","ジェイ・エス・ビー","東P"
"3482","ロードスターキャピタル","東P"
"3484","テンポイノベーション","東P"
"3486","グローバル・リンク・マネジメン","東P"
"3489","フェイスネットワーク","東P"
"3501","住江織物","東P"
"3521","エコナックＨＬＤＧ","東P"
"3526","芦森工業","東P"
"3529","アツギ","東P"
"3538","ウイルプラスＨＬＤＧ","東P"
"3539","ＪＭ　ＨＬＤＧ","東P"
"3543","コメダＨＬＤＧ","東P"
"3544","サツドラＨＬＤＧ","東P"
"3546","アレンザＨＬＤＧ","東P"
"3548","バロックジャパンリミテッド","東P"
"3549","クスリのアオキＨＬＤＧ","東P"
"3559","ピーバンドットコム","東P"
"3561","力の源ＨＬＤＧ","東P"
"3563","ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭ","東P"
"3565","アセンテック","東P"
"3569","セーレン","東P"
"3580","小松マテーレ","東P"
"3591","ワコールＨＬＤＧ","東P"
"3593","ホギメディカル","東P"
"3608","ＴＳＩ　ＨＬＤＧ","東P"
"3611","マツオカコーポレーション","東P"
"3612","ワールド","東P"
"3626","ＴＩＳ","東P"
"3627","ＪＮＳ　ＨＬＤＧ","東P"
"3632","グリー","東P"
"3633","ＧＭＯペパボ","東P"
"3635","コーエーテクモＨＬＤＧ","東P"
"3636","三菱総合研究所","東P"
"3649","ファインデックス","東P"
"3655","ブレインパッド","東P"
"3656","ＫＬａｂ","東P"
"3657","ポールトゥウィンＨＬＤＧ","東P"
"3659","ネクソン","東P"
"3660","アイスタイル","東P"
"3661","エムアップＨＬＤＧ","東P"
"3662","エイチーム","東P"
"3665","エニグモ","東P"
"3666","テクノスジャパン","東P"
"3668","コロプラ","東P"
"3673","ブロードリーフ","東P"
"3675","クロス・マーケティンググループ","東P"
"3676","デジタルハーツＨＬＤＧ","東P"
"3677","システム情報","東P"
"3678","メディアドゥ","東P"
"3679","じげん","東P"
"3681","ブイキューブ","東P"
"3683","サイバーリンクス","東P"
"3687","フィックスターズ","東P"
"3688","ＣＡＲＴＡ　ＨＬＤＧ","東P"
"3694","オプティム","東P"
"3696","セレス","東P"
"3697","ＳＨＩＦＴ","東P"
"3708","特種東海製紙","東P"
"3738","ティーガイア","東P"
"3741","セック","東P"
"3762","テクマトリックス","東P"
"3763","プロシップ","東P"
"3765","ガンホー・オンライン","東P"
"3769","ＧＭＯペイメントゲートウェイ","東P"
"3771","システムリサーチ","東P"
"3774","インターネットイニシアティブ","東P"
"3778","さくらインターネット","東P"
"3788","ＧＭＯグローバルサイン・ＨＬＤ","東P"
"3817","ＳＲＡ　ＨＬＤＧ","東P"
"3834","朝日ネット","東P"
"3835","ｅＢＡＳＥ","東P"
"3836","アバントグループ","東P"
"3837","アドソル日進","東P"
"3839","ＯＤＫソリューションズ","東P"
"3843","フリービット","東P"
"3844","コムチュア","東P"
"3853","アステリア","東P"
"3854","アイル","東P"
"3861","王子ＨＬＤＧ","東P"
"3863","日本製紙","東P"
"3864","三菱製紙","東P"
"3865","北越コーポレーション","東P"
"3877","中越パルプ工業","東P"
"3880","大王製紙","東P"
"3901","マークラインズ","東P"
"3902","メディカル・データ・ビジョン","東P"
"3903","ｇｕｍｉ","東P"
"3912","モバイルファクトリー","東P"
"3915","テラスカイ","東P"
"3916","デジタル・インフォメーション","東P"
"3918","ＰＣＩ　ＨＬＤＧ","東P"
"3921","ネオジャパン","東P"
"3922","ＰＲ　ＴＩＭＥＳ","東P"
"3923","ラクス","東P"
"3924","ランドコンピュータ","東P"
"3925","ダブルスタンダード","東P"
"3926","オープンドア","東P"
"3928","マイネット","東P"
"3932","アカツキ","東P"
"3934","ベネフィットジャパン","東P"
"3937","Ｕｂｉｃｏｍ　ＨＬＤＧ","東P"
"3939","カナミックネットワーク","東P"
"3940","ノムラシステムコーポレーション","東P"
"3941","レンゴー","東P"
"3946","トーモク","東P"
"3950","ザ・パック","東P"
"3962","チェンジＨＬＤＧ","東P"
"3963","シンクロ・フード","東P"
"3964","オークネット","東P"
"3968","セグエグループ","東P"
"3978","マクロミル","東P"
"3981","ビーグリー","東P"
"3983","オロ","東P"
"3984","ユーザーローカル","東P"
"3985","テモナ","東P"
"3992","ニーズウェル","東P"
"3994","マネーフォワード","東P"
"3996","サインポスト","東P"
"4004","レゾナック・ＨＬＤＧ","東P"
"4005","住友化学","東P"
"4008","住友精化","東P"
"4021","日産化学","東P"
"4022","ラサ工業","東P"
"4023","クレハ","東P"
"4025","多木化学","東P"
"4027","テイカ","東P"
"4028","石原産業","東P"
"4041","日本曹達","東P"
"4042","東ソー","東P"
