"コード","銘柄名","市場"
"3512","日本フエルト","東S"
"3513","イチカワ","東S"
"3524","日東製網","東S"
"3536","アクサスＨＬＤＧ","東S"
"3537","昭栄薬品","東S"
"3540","歯愛メディカル","東S"
"3547","串カツ田中ＨＬＤＧ","東S"
"3551","ダイニック","東S"
"3553","共和レザー","東S"
"3560","ほぼ日","東S"
"3562","Ｎｏ．１","東S"
"3571","ソトー","東S"
"3577","東海染工","東S"
"3583","オーベクス","東S"
"3597","自重堂","東S"
"3598","山喜","東S"
"3600","フジックス","東S"
"3604","川本産業","東S"
"3607","クラウディアＨＬＤＧ","東S"
"3634","ソケッツ","東S"
"3639","ボルテージ","東S"
"3640","電算","東S"
"3641","パピレス","東S"
"3647","ジー・スリーＨＬＤＧ","東S"
"3648","ＡＧＳ","東S"
"3663","セルシス","東S"
"3667","ｅｎｉｓｈ","東S"
"3670","協立情報通信","東S"
"3672","オルトプラス","東S"
"3682","エンカレッジ・テクノロジ","東S"
"3686","ディー・エル・イー","東S"
"3710","ジョルダン","東S"
"3712","情報企画","東S"
"3719","ジェクシード","東S"
"3726","フォーシーズＨＤ","東S"
"3733","ソフトウェア・サービス","東S"
"3744","サイオス","東S"
"3747","インタートレード","東S"
"3750","サイトリ細胞研究所","東S"
"3753","フライトＨＬＤＧ","東S"
"3758","アエリア","東S"
"3760","ケイブ","東S"
"3766","システムズ・デザイン","東S"
"3768","リスクモンスター","東S"
"3770","ザッパラス","東S"
"3772","ウェルス・マネジメント","東S"
"3776","ブロードバンドタワー","東S"
"3779","ジェイ・エスコムＨＬＤＧ","東S"
"3784","ヴィンクス","東S"
"3787","テクノマセマティカル","東S"
"3791","ＩＧポート","東S"
"3796","いい生活","東S"
"3798","ＵＬＳグループ","東S"
"3799","キーウェアソリューションズ","東S"
"3800","ユニリタ","東S"
"3802","エコミック","東S"
"3804","システム　ディ","東S"
"3810","サイバーステップ","東S"
"3816","大和コンピューター","東S"
"3823","ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ","東S"
"3825","リミックスポイント","東S"
"3826","システムインテグレータ","東S"
"3840","パス","東S"
"3841","ジーダット","東S"
"3845","アイフリークモバイル","東S"
"3847","パシフィックシステム","東S"
"3848","データ・アプリケーション","東S"
"3850","エヌ・ティ・ティ・データ・イン","東S"
"3851","日本一ソフトウェア","東S"
"3852","サイバーコム","東S"
"3856","Ａｂａｌａｎｃｅ","東S"
"3857","ラック","東S"
"3858","ユビキタスＡＩ","東S"
"3878","巴川製紙所","東S"
"3891","ニッポン高度紙工業","東S"
"3892","岡山製紙","東S"
"3895","ハビックス","東S"
"3896","阿波製紙","東S"
"3909","ショーケース","東S"
"3910","エムケイシステム","東S"
"3920","アイビーシー","東S"
"3933","チエル","東S"
"3943","大石産業","東S"
"3944","古林紙工","東S"
"3945","スーパーバッグ","東S"
"3947","ダイナパック","東S"
"3948","光ビジネスフォーム","東S"
"3951","朝日印刷","東S"
"3953","大村紙業","東S"
"3954","昭和パックス","東S"
"3955","イムラ","東S"
"3965","キャピタル・アセット・プランニ","東S"
"3969","エイトレッド","東S"
"3974","ティビィシィ・スキヤツト","東S"
"3988","ＳＹＳ　ＨＬＤＧ","東S"
"3993","ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇ","東S"
"3997","トレードワークス","東S"
"4012","アクシス","東S"
"4016","ＭＩＴ　ＨＬＤＧ","東S"
"4026","神島化学工業","東S"
"4031","片倉コープアグリ","東S"
"4059","まぐまぐ","東S"
"4080","田中化学研究所","東S"
"4094","日本化学産業","東S"
"4102","丸尾カルシウム","東S"
"4107","伊勢化学工業","東S"
"4113","田岡化学工業","東S"
"4119","日本ピグメント","東S"
"4120","スガイ化学工業","東S"
"4124","大阪油化工業","東S"
"4125","三和油化工業","東S"
"4171","グローバルインフォメーション","東S"
"4172","東和ハイシステム","東S"
"4174","アピリッツ","東S"
"4193","ファブリカコミュニケーションズ","東S"
"4196","ネオマーケティング","東S"
"4198","テンダ","東S"
"4200","ＨＣＳ　ＨＬＤＧ","東S"
"4222","児玉化学工業","東S"
"4224","ロンシール工業","東S"
"4231","タイガースポリマー","東S"
"4234","サンエー化研","東S"
"4235","ウルトラファブリックスＨＬＤＧ","東S"
"4237","フジプレアム","東S"
"4238","ミライアル","東S"
"4241","アテクト","東S"
"4242","タカギセイコー","東S"
"4243","ニックス","東S"
"4247","ポバール興業","東S"
"4274","細谷火工","東S"
"4287","ジャストプランニング","東S"
"4288","アズジェント","東S"
"4293","セプテーニＨＬＤＧ","東S"
"4304","Ｅストアー","東S"
"4312","サイバネットシステム","東S"
"4317","レイ","東S"
"4319","ＴＡＣ","東S"
"4327","日本エス・エイチ・エル","東S"
"4334","ユークス","東S"
"4335","アイ・ピー・エス","東S"
"4341","西菱電機","東S"
"4347","ブロードメディア","東S"
"4351","山田債権回収管理総合事務所","東S"
"4355","ロングライフＨＬＤＧ","東S"
"4356","応用技術","東S"
"4360","マナック・ケミカル・パートナー","東S"
"4361","川口化学工業","東S"
"4365","松本油脂製薬","東S"
"4366","ダイトーケミックス","東S"
"4367","広栄化学","東S"
"4386","ＳＩＧグループ","東S"
"4398","ブロードバンドセキュリティ","東S"
"4404","ミヨシ油脂","東S"
"4406","新日本理化","東S"
"4409","東邦化学工業","東S"
"4421","ディ・アイ・システム","東S"
"4430","東海ソフト","東S"
"4440","ヴィッツ","東S"
"4464","ソフト９９コーポレーション","東S"
"4491","コンピューターマネージメント","東S"
"4492","ゼネテック","東S"
"4494","バリオセキュア","東S"
"4499","Ｓｐｅｅｅ","東S"
"4512","わかもと製薬","東S"
"4524","森下仁丹","東S"
"4531","有機合成薬品工業","東S"
"4556","カイノス","東S"
"4558","中京医薬品","東S"
"4581","大正製薬ＨＬＤＧ","東S"
"4595","ミズホメディー","東S"
"4615","神東塗料","東S"
"4616","川上塗料","東S"
"4621","ロックペイント","東S"
"4623","アサヒペン","東S"
"4624","イサム塗料","東S"
"4625","アトミクス","東S"
"4627","ナトコ","東S"
"4628","エスケー化研","東S"
"4629","大伸化学","東S"
"4635","東京インキ","東S"
"4642","オリジナル設計","東S"
"4644","イマジニア","東S"
"4645","市進ＨＬＤＧ","東S"
"4650","ＳＤエンターテイメント","東S"
"4657","環境管理センター","東S"
"4659","エイジス","東S"
"4664","アール・エス・シー","東S"
"4667","アイサンテクノロジー","東S"
"4673","川崎地質","東S"
"4678","秀英予備校","東S"
"4679","田谷","東S"
"4685","菱友システムズ","東S"
"4690","日本パレットプール","東S"
"4691","ワシントンホテル","東S"
"4705","クリップコーポレーション","東S"
"4707","キタック","東S"
"4712","ＫｅｙＨｏｌｄｅｒ","東S"
"4716","日本オラクル","東S"
"4720","城南進学研究社","東S"
"4728","トーセ","東S"
"4735","京進","東S"
"4736","日本ラッド","東S"
"4746","東計電算","東S"
"4748","構造計画研究所","東S"
"4750","ダイサン","東S"
"4752","昭和システムエンジニアリング","東S"
"4754","トスネット","東S"
"4760","アルファ","東S"
"4761","さくらケーシーエス","東S"
"4762","エックスネット","東S"
"4766","ピーエイ","東S"
"4769","ＩＣ","東S"
"4770","図研エルミック","東S"
"4771","エフアンドエム","東S"
"4777","ガーラ","東S"
"4781","日本ハウズイング","東S"
"4783","日本コンピュータ・ダイナミクス","東S"
"4784","ＧＭＯアドパートナーズ","東S"
"4800","オリコン","東S"
"4814","ネクストウェア","東S"
"4816","東映アニメーション","東S"
"4829","日本エンタープライズ","東S"
"4832","ＪＦＥシステムズ","東S"
"4837","シダックス","東S"
"4838","スペースシャワーネットワーク","東S"
"4875","メディシノバ","東S"
"4885","室町ケミカル","東S"
"4918","アイビー化粧品","東S"
"4920","日本色材工業研究所","東S"
"4925","ハーバー研究所","東S"
"4926","シーボン","東S"
"4930","グラフィコ","東S"
"4932","アルマード","東S"
"4935","リベルタ","東S"
"4957","ヤスハラケミカル","東S"
"4960","ケミプロ化成","東S"
"4966","上村工業","東S"
"4970","東洋合成工業","東S"
"4972","綜研化学","東S"
"4976","東洋ドライルーブ","東S"
"4987","寺岡製作所","東S"
"4990","昭和化学工業","東S"
"4992","北興化学工業","東S"
"4994","大成ラミック","東S"
"4998","フマキラー","東S"
"5009","富士興産","東S"
"5010","日本精蝋","東S"
"5013","ユシロ化学工業","東S"
"5015","ビーピー・カストロール","東S"
"5036","日本ビジネスシステムズ","東S"
"5071","ヴィス","東S"
"5078","セレ","東S"
"5079","ノバック","東S"
"5103","昭和ＨＬＤＧ","東S"
"5104","日東化工","東S"
"5133","テリロジーＨＬＤＧ","東S"
"5161","西川ゴム工業","東S"
"5162","朝日ラバー","東S"
"5184","ニチリン","東S"
"5187","クリエートメディック","東S"
"5189","櫻護謨","東S"
"5194","相模ゴム工業","東S"
"5199","不二ラテックス","東S"
"5204","石塚硝子","東S"
"5210","日本山村硝子","東S"
"5212","不二硝子","東S"
"5216","倉元製作所","東S"
"5217","テクノクオーツ","東S"
"5218","オハラ","東S"
"5237","ノザワ","東S"
"5250","プライム・ストラテジー","東S"
"5257","ノバシステム","東S"
"5268","旭コンクリート工業","東S"
"5271","トーヨーアサノ","東S"
"5273","三谷セキサン","東S"
"5277","スパンクリートコーポレーション","東S"
"5279","日本興業","東S"
"5280","ヨシコン","東S"
"5282","ジオスター","東S"
"5283","高見澤","東S"
"5284","ヤマウＨＬＤＧ","東S"
"5285","ヤマックス","東S"
"5287","イトーヨーギョー","東S"
"5290","ベルテクスコーポレーション","東S"
"5304","ＳＥＣカーボン","東S"
"5337","ダントーＨＬＤＧ","東S"
"5341","アサヒ衛陶","東S"
"5355","日本坩堝","東S"
"5363","東京窯業","東S"
"5368","日本インシュレーション","東S"
"5380","新東","東S"
"5381","Ｍｉｐｏｘ","東S"
"5386","鶴弥","東S"
"5388","クニミネ工業","東S"
"5391","エーアンドエーマテリアル","東S"
"5395","理研コランダム","東S"
"5446","北越メタル","東S"
"5449","大阪製鐵","東S"
"5458","高砂鐵工","東S"
"5464","モリ工業","東S"
"5476","日本高周波鋼業","東S"
"5484","東北特殊鋼","東S"
"5542","新報国マテリアル","東S"
"5603","虹技","東S"
"5609","日本鋳造","東S"
"5610","大和重工","東S"
"5612","日本鋳鉄管","東S"
"5644","メタルアート","東S"
"5658","日亜鋼業","東S"
"5660","神鋼鋼線工業","東S"
"5695","パウダーテック","東S"
"5697","サンユウ","東S"
"5699","イボキン","東S"
"5721","エス・サイエンス","東S"
"5724","アサカ理研","東S"
"5729","日本精鉱","東S"
"5742","エヌアイシ・オートテック","東S"
"5753","日本伸銅","東S"
"5781","東邦金属","東S"
"5816","オーナンバ","東S"
"5817","ＪＭＡＣＳ","東S"
"5819","カナレ電気","東S"
